Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot16,"VIPkiller17",normal,21,Completed,"Scout","Zone place_pacemaker_SCOUT_03","1","03:30:53","03:32:26",
Bot16,"VIPkiller17",normal,21,Completed,"Scout","Zone place_pacemaker_SCOUT_01","1","03:32:31","03:36:20",
Bot16,"VIPkiller17",normal,21,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","03:36:25","03:38:57",
Bot17,"SirTyler",normal,5,Completed,"Delivery From the Past","Zone case_extraction","2","03:30:53","03:39:37",
Bot17,"SirTyler",normal,5,Completed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","03:39:42","03:39:58",
Bot17,"SirTyler",normal,5,Completed,"3rd Floor Bridge","3rd Floor Bridge: Objective #1","2","03:40:03","03:40:44",
Bot17,"SirTyler",normal,5,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","03:40:49","03:41:15",
Bot17,"SirTyler",normal,5,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","03:41:21","03:41:38",
Bot17,"SirTyler",normal,5,Failed,"1st Floor Office","1st Floor Office: Objective #1","3","03:41:43","03:42:28",
Bot18,"Faupi",normal,17,Completed,"Scout","Zone place_pacemaker_SCOUT_01","1","03:30:53","03:31:34",
Bot18,"Faupi",normal,17,Completed,"Scout","Zone place_pacemaker_SCOUT_04","1","03:31:39","03:34:38",
Bot18,"Faupi",normal,17,Failed,"Scout","Zone place_pacemaker_SCOUT_02","1","03:34:43","03:39:35",
Bot18,"Faupi",normal,17,Completed,"Postman Pat - Part 1","Item Sealed letter","1","03:36:43","03:38:01",
Bot18,"Faupi",normal,17,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","03:38:06","03:39:35",
Bot15,"SlejmUr",normal,1,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","03:30:53","03:31:09",
