Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"PudgeNubbins",normal,6,Pending,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","00:16:59","N/A",
Bot3,"VIPkiller17",normal,17,Pending,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","00:17:00","N/A",
Bot6,"DocYen",normal,27,Active,"1st Floor Office","1st Floor Office: Objective #2","1","00:17:00","N/A",
Bot5,"Hobbes",normal,8,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","00:17:00","00:17:53",
Bot12,"Cheese",normal,11,Pending,"3rd Floor Office","3rd Floor Office: Objective #1","1","00:19:59","N/A",
Bot11,"Colonel",normal,24,Active,"Scout","Zone place_pacemaker_SCOUT_02","1","00:20:00","N/A",
