Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot21,"kmyuhkyuk",normal,11,Failed,"Operation Aquarius - Part 1","Zone room206_water","1","00:43:05","00:43:26",
Bot21,"kmyuhkyuk",normal,11,Completed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","00:43:31","00:43:45",
Bot21,"kmyuhkyuk",normal,11,Completed,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","00:43:50","00:44:35",
Bot21,"kmyuhkyuk",normal,11,Failed,"Bad Rep Evidence","Item Secure Folder 0031","1","00:44:40","00:44:47",
Bot21,"kmyuhkyuk",normal,11,Failed,"Golden Swag","Item Golden Zibbo lighter","1","00:44:52","00:44:52",
Bot21,"kmyuhkyuk",normal,11,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","00:44:57","00:45:09",
Bot21,"kmyuhkyuk",normal,11,Failed,"Pharmacist","Zone room114","1","00:45:10","00:45:10",
Bot21,"kmyuhkyuk",normal,11,Failed,"Pharmacist","Item Carbon case","1","00:45:15","00:45:15",
Bot21,"kmyuhkyuk",normal,11,Failed,"Pharmacist","Zone vaz_feld","1","00:45:20","00:45:25",
Bot21,"kmyuhkyuk",normal,11,Failed,"Shaking up the Teller","Zone room214","1","00:45:30","00:45:41",
Bot21,"kmyuhkyuk",normal,11,Failed,"Shaking up the Teller","Item Bank case","1","00:45:47","00:45:47",
Bot18,"SamSWAT",normal,12,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","00:43:05","00:43:19",
Bot20,"zicoman",normal,24,Completed,"Boss Hunter","Spawn Point (-335.6 0.3 -159.7)","1","00:43:06","00:45:38",
Bot20,"zicoman",normal,24,Completed,"Boss Hunter","Spawn Point (-329.4 1.0 -211.1)","1","00:45:43","00:45:58",
Bot20,"zicoman",normal,24,Completed,"Boss Hunter","Spawn Point (-311.9 1.0 -125.0)","1","00:46:03","00:46:48",
Bot20,"zicoman",normal,24,Completed,"Boss Hunter","Spawn Point (-333.8 -0.4 -84.5)","1","00:46:53","00:49:39",
Bot20,"zicoman",normal,24,Completed,"Boss Hunter","Spawn Point (-273.5 1.0 -72.1)","1","00:49:44","00:50:23",
Bot20,"zicoman",normal,24,Completed,"Boss Hunter","Spawn Point (-300.6 0.0 -44.1)","1","00:50:29","00:51:15",
Bot20,"zicoman",normal,24,Failed,"Informed Means Armed","Zone place_skier_11_2","1","00:51:20","00:58:43",
Bot20,"zicoman",normal,24,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","00:53:03","00:54:03",
Bot20,"zicoman",normal,24,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","00:54:08","00:58:43",
Bot22,"ThurmanMurman",normal,2,Completed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","00:43:06","00:45:51",
Bot22,"ThurmanMurman",normal,2,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","00:45:56","00:46:12",
Bot22,"ThurmanMurman",normal,2,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","00:46:17","00:46:17",
Bot22,"ThurmanMurman",normal,2,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","00:46:22","00:46:44",
Bot22,"ThurmanMurman",normal,2,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","00:46:49","00:47:03",
Bot22,"ThurmanMurman",normal,2,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","00:47:08","00:47:20",
Bot22,"ThurmanMurman",normal,2,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","00:47:25","00:51:10",
Bot22,"ThurmanMurman",normal,2,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #7","1","00:51:15","00:53:08",
Bot19,"halik92",normal,15,Failed,"Delivery From the Past","Item Secure Folder 0022","1","00:43:06","00:44:46",
Bot24,"DjLang",normal,20,Completed,"Golden Swag","Item Golden Zibbo lighter","1","00:43:07","00:44:51",
Bot24,"DjLang",normal,20,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","00:44:57","00:57:56",
Bot25,"zicoman",normal,7,Completed,"The Extortionist","Zone dead_posylni","1","00:43:07","01:00:59",
Bot25,"zicoman",normal,7,Failed,"The Extortionist","Item Secure Folder 0048","1","01:01:04","01:03:08",
Bot32,"hacker228",normal,29,Completed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","00:43:13","00:46:33",
Bot32,"hacker228",normal,29,Failed,"Bullshit","Item Flash drive with fake info","1","00:46:38","00:50:14",
Bot33,"matt",normal,26,Failed,"Bullshit","Item Flash drive with fake info","1","00:43:13","00:49:27",
